,time stamp,num_devide,accuracy,legend
0,2020/07/07 12:12:05,1,0.6369,unfreeze_level_1_pg
1,2020/07/07 12:12:07,2,0.3757,unfreeze_level_1_pg
2,2020/07/07 12:12:09,3,0.3126,unfreeze_level_1_pg
3,2020/07/07 12:12:11,4,0.2763,unfreeze_level_1_pg
4,2020/07/07 12:12:14,5,0.2448,unfreeze_level_1_pg
5,2020/07/07 12:12:16,6,0.2349,unfreeze_level_1_pg
6,2020/07/07 12:12:18,7,0.217,unfreeze_level_1_pg
7,2020/07/07 12:12:20,8,0.2016,unfreeze_level_1_pg
8,2020/07/07 12:12:23,9,0.2,unfreeze_level_1_pg
9,2020/07/07 12:12:25,10,0.1978,unfreeze_level_1_pg
