,time stamp,num_devide,accuracy,legend
0,2020/07/05 09:09:20,1,0.3181,unfreeze_level_0
1,2020/07/05 09:09:22,2,0.2494,unfreeze_level_0
2,2020/07/05 09:09:24,3,0.2349,unfreeze_level_0
3,2020/07/05 09:09:26,4,0.211,unfreeze_level_0
4,2020/07/05 09:09:28,5,0.1992,unfreeze_level_0
5,2020/07/05 09:09:30,6,0.1737,unfreeze_level_0
6,2020/07/05 09:09:33,7,0.1694,unfreeze_level_0
7,2020/07/05 09:09:35,8,0.1609,unfreeze_level_0
8,2020/07/05 09:09:37,9,0.1679,unfreeze_level_0
9,2020/07/05 09:09:40,10,0.1598,unfreeze_level_0
