,time stamp,corruption_type,accuracy
0,2020/07/08 10:53:24,gaussian_noise,52.337207015679816
1,2020/07/08 10:53:34,shot_noise,57.940690254678536
2,2020/07/08 10:53:44,speckle_noise,58.49970369922872
3,2020/07/08 10:53:54,impulse_noise,48.7045599489796
4,2020/07/08 10:54:05,defocus_blur,66.70019648026447
5,2020/07/08 10:54:15,gaussian_blur,61.462143800696545
6,2020/07/08 10:54:25,motion_blur,59.50360395470444
7,2020/07/08 10:54:36,zoom_blur,61.57927867344448
8,2020/07/08 10:54:46,snow,62.095311301095144
9,2020/07/08 10:54:57,fog,61.54216408242985
10,2020/07/08 10:55:07,brightness,72.49493112369458
11,2020/07/08 10:55:17,contrast,48.56403572705327
12,2020/07/08 10:55:28,elastic_transform,67.06058829171317
13,2020/07/08 10:55:38,pixelate,67.62952897986587
14,2020/07/08 10:55:48,jpeg_compression,73.80488601995974
15,2020/07/08 10:55:59,spatter,65.62642895445532
16,2020/07/08 10:56:09,saturate,72.37335905736806
17,2020/07/08 10:56:20,frost,59.611601148332866
