,time stamp,num_devide,accuracy,legend
0,2020/07/07 12:12:27,1,0.7771,unfreeze_level_2_pg
1,2020/07/07 12:12:29,2,0.4742,unfreeze_level_2_pg
2,2020/07/07 12:12:31,3,0.3804,unfreeze_level_2_pg
3,2020/07/07 12:12:33,4,0.3115,unfreeze_level_2_pg
4,2020/07/07 12:12:36,5,0.2714,unfreeze_level_2_pg
5,2020/07/07 12:12:38,6,0.2418,unfreeze_level_2_pg
6,2020/07/07 12:12:40,7,0.2229,unfreeze_level_2_pg
7,2020/07/07 12:12:42,8,0.2116,unfreeze_level_2_pg
8,2020/07/07 12:12:45,9,0.2015,unfreeze_level_2_pg
9,2020/07/07 12:12:47,10,0.1955,unfreeze_level_2_pg
